video_name,frame_id,from_id,to_id,distance,reason
Hoang_Hearn,116,9,8,4.825730024634765,duplicate
Hoang_Hearn,117,9,8,6.421394628949233,duplicate
Hoang_Hearn,118,9,8,5.94816170588788,duplicate
Hoang_Hearn,119,9,8,6.591106343652761,duplicate
Hoang_Hearn,120,9,8,6.979741309422432,duplicate
Hoang_Hearn,121,9,8,6.1435351119989114,duplicate
Hoang_Hearn,121,10,8,5.736337172667817,duplicate
Hoang_Hearn,122,9,8,5.234803231814037,duplicate
Hoang_Hearn,122,10,8,6.135410816676424,duplicate
Hoang_Hearn,123,9,8,5.575260840884464,duplicate
Hoang_Hearn,124,9,8,4.721522000777735,duplicate
Hoang_Hearn,125,9,8,4.859097345725636,duplicate
Hoang_Hearn,126,9,8,5.686058566248431,duplicate
Hoang_Hearn,353,9,8,4.6448573271253055,duplicate
Hoang_Hearn,464,9,8,5.286259965036281,duplicate
Hoang_Hearn,477,9,8,16.702587014071426,duplicate
Hoang_Hearn,478,9,8,14.290371087466971,duplicate
Hoang_Hearn,480,9,8,10.022289644532451,duplicate
Hoang_Hearn,482,9,8,12.1050928761795,duplicate
Hoang_Hearn,483,9,8,12.830383754339675,duplicate
Hoang_Hearn,484,9,8,13.25074466883549,duplicate
Hoang_Hearn,487,9,8,16.505924481082275,duplicate
Hoang_Hearn,702,9,8,19.60468595762612,duplicate
Hoang_Hearn,705,9,8,19.68401361988121,duplicate
Hoang_Hearn,710,9,8,17.853407362670055,duplicate
Hoang_Hearn,711,9,8,15.392922131823164,duplicate
Hoang_Hearn,711,10,8,18.875095551459548,duplicate
Hoang_Hearn,714,9,8,7.815883894604781,duplicate
Kum_Pa_Gun_Poong_Hork,88,9,8,13.821551309350522,duplicate
Kum_Pa_Gun_Poong_Hork,90,9,8,16.366015651455534,duplicate
Kum_Pa_Gun_Poong_Hork,90,10,8,17.98219692581536,duplicate
Kum_Pa_Gun_Poong_Hork,107,9,8,16.378335164660015,duplicate
Kum_Pa_Gun_Poong_Hork,115,9,7,18.447527591313445,duplicate
Kum_Pa_Gun_Poong_Hork,445,9,8,7.567621168900039,duplicate
Kum_Pa_Gun_Poong_Hork,448,9,8,6.626111229563125,duplicate
Kum_Pa_Gun_Poong_Hork,450,9,8,10.360626382266924,duplicate
Kum_Pa_Gun_Poong_Hork,452,9,8,9.44394131203443,duplicate
Kum_Pa_Gun_Poong_Hork,453,9,8,8.357179738469267,duplicate
Kum_Pa_Gun_Poong_Hork,462,9,8,13.974070238800284,duplicate
